13368,2385003,4,2004-07-08
13368,659432,3,2005-03-16
13368,751812,2,2002-12-16
13368,2625420,2,2004-05-25
13368,1650301,1,2005-08-30
13368,2269227,4,2005-10-27
13368,2220672,4,2002-08-19
13368,2500511,4,2003-08-11
13368,1452058,2,2005-01-29
13368,1624891,3,2002-07-27
13368,970031,3,2004-04-14
13368,345673,4,2005-04-07
13368,1426869,5,2005-04-21
13368,1037088,2,2005-09-14
13368,2079559,5,2005-10-08
13368,2175560,5,2005-01-12
13368,946805,4,2005-02-09
13368,767843,1,2005-05-04
13368,464031,3,2001-02-08
13368,2473764,4,2005-09-26
13368,2339119,3,2005-11-27
13368,162348,3,2004-06-15
13368,2622206,4,2005-10-09
13368,1558606,3,2004-06-21
13368,945258,3,2005-05-03
13368,1315220,5,2002-05-15
13368,1860412,3,2003-07-29
13368,1338852,3,2003-07-14
13368,1469354,2,2003-12-19
13368,719833,4,2003-07-20
13368,310049,2,2004-03-15
13368,324891,5,2005-04-23
13368,1203136,3,2001-05-12
13368,653471,5,2003-11-03
13368,17099,3,2004-09-01
13368,2304670,4,2005-02-10
13368,2195992,3,2005-04-16
13368,1892937,5,2005-07-25
13368,1414863,3,2004-05-19
13368,1959288,2,2005-03-02
13368,1934640,4,2005-03-17
13368,2476255,4,2005-10-09
13368,1698528,5,2005-10-07
13368,955917,4,2003-08-14
13368,2352327,4,2004-09-01
13368,364540,3,2004-08-04
13368,1225326,5,2005-02-11
13368,1253156,4,2005-07-07
13368,1791854,4,2004-10-31
13368,1143351,3,2005-03-01
13368,2448082,2,2005-08-19
13368,2077104,2,2004-01-29
13368,1864362,5,2005-01-12
13368,1433951,4,2005-06-28
13368,472483,5,2005-09-23
13368,748973,4,2005-08-27
13368,2269838,4,2003-08-19
13368,2477177,3,2004-01-06
13368,2209858,4,2005-02-13
13368,1709239,4,2002-08-17
13368,727242,1,2004-05-18
13368,274313,2,2003-08-11
13368,2235013,4,2004-12-29
13368,443193,3,2001-02-17
13368,478176,4,2004-08-25
13368,1150643,5,2005-09-06
13368,544784,4,2005-03-14
13368,2569291,5,2005-10-11
13368,1272379,2,2002-03-06
13368,1101438,5,2005-08-15
13368,427674,4,2004-02-28
13368,111211,2,2004-02-02
13368,871684,4,2005-05-09
13368,1329206,4,2005-06-13
13368,1116219,5,2002-08-29
13368,2479276,4,2005-10-20
13368,109389,5,2002-11-13
13368,487240,1,2005-05-09
13368,2018935,4,2005-05-18
13368,1288980,3,2005-10-05
13368,1092081,5,2004-03-05
13368,664419,4,2005-08-06
13368,2380716,3,2003-08-22
13368,1964421,5,2004-02-03
13368,2120820,5,2004-05-17
13368,1685089,4,2001-04-19
13368,593440,4,2004-08-28
13368,892185,4,2005-08-02
13368,1290520,4,2004-08-13
13368,637621,5,2005-01-28
13368,475010,4,2005-02-03
13368,2219254,3,2000-09-20
13368,2439493,1,2003-04-03
13368,2182356,3,2005-10-01
13368,186179,5,2000-03-05
13368,2245909,4,2004-09-10
13368,1672449,3,2005-09-09
13368,1324924,5,2005-08-28
13368,853194,4,2004-01-20
13368,869373,2,2003-11-13
13368,907430,2,2005-10-24
13368,833381,3,2003-04-09
13368,505624,5,2005-11-12
13368,756011,5,2004-10-14
13368,1205638,3,2005-12-01
13368,1021948,5,2005-12-07
13368,371967,3,2000-03-21
13368,1570077,3,2002-03-04
13368,2343780,4,2004-01-28
13368,2136168,2,2005-03-10
13368,289594,3,2005-12-12
13368,1646880,4,2005-02-25
13368,768810,2,2003-09-04
13368,2221847,5,2005-02-14
13368,2455117,4,2005-11-15
13368,1218097,4,2005-03-01
13368,1431415,5,2005-11-08
13368,528559,4,2005-07-28
13368,2397704,5,2004-01-25
13368,1233752,3,2000-01-16
13368,2029462,3,2004-02-09
13368,2062286,3,2004-01-12
13368,1212627,4,2005-01-27
13368,1149052,3,2004-07-13
13368,1493430,4,2004-07-09
13368,2358715,5,2005-09-13
13368,1960208,5,2005-09-07
13368,1252629,2,2004-03-16
13368,634777,5,2004-11-07
13368,919869,5,2005-11-08
13368,1314655,4,2005-01-27
13368,1153564,5,2005-06-03
13368,1392017,4,2005-10-08
13368,1143567,5,2005-10-19
13368,532830,5,2005-08-13
13368,539955,5,2004-04-18
13368,1077156,3,2004-03-06
13368,910262,4,2005-08-14
13368,818752,3,2005-02-07
13368,1193748,4,2005-03-06
13368,2323710,5,2005-07-05
13368,2197203,1,2003-09-21
13368,1443113,5,2004-07-29
13368,231863,4,2004-07-12
13368,2034459,4,2005-02-18
